SquareFeet,Price
2843.1,436248.78
3314.6,518944.21
2946.9,458323.13
1349.4,236985.45
3190.1,479309.99
3805.8,548365.52
2592.4,391695.3
1406.0,215507.78
2670.8,427468.64
1642.8,246668.59
3502.5,544556.51
2072.4,301455.05
1997.1,303004.95
807.9,144272.49
4244.6,638530.98
672.6,104610.65
2625.4,396815.17
3049.7,474355.24
760.2,148737.89
1008.2,177209.92
795.2,160542.66
2580.3,409796.03
1146.5,199630.24
4213.3,666096.49
2510.7,364787.69
1672.8,264310.95
2565.2,375190.67
3708.8,572973.45
1397.1,228558.84
2863.3,424772.59
3073.2,456229.73
706.7,115269.72
2388.9,364068.59
2470.5,392780.81
1938.0,348139.24
4070.2,605683.36
810.9,153813.8
3608.6,576979.98
1501.0,248051.97
4261.8,627938.6
978.4,170177.82
3879.5,635247.71
1954.5,290530.06
3045.6,446287.1
975.3,168204.33
968.3,131563.59
4350.6,655559.62
2801.9,416617.32
1468.2,211962.0
4121.4,643933.13
3580.0,535394.82
3740.5,568152.88
1777.3,277321.68
4265.9,629728.97
791.1,173455.87
4260.9,654934.17
3985.8,639274.17
4348.7,647389.62
3600.5,523036.81
3737.4,568392.53
2354.8,408994.24
2573.3,408382.87
2054.7,325695.72
2466.5,380368.41
861.2,144010.16
2925.7,449294.2
3666.3,561613.2
979.5,161748.28
3140.8,442362.12
3680.7,570426.05
1823.6,275342.61
839.4,167656.23
782.3,97640.96
597.3,127612.61
663.1,119215.73
4379.5,671653.75
2930.2,476587.29
1668.6,264114.95
2094.0,328440.02
1182.1,192032.42
4125.4,621710.0
4258.0,614522.49
3017.6,466749.57
877.8,129459.79
1980.6,327829.4
1623.1,289093.68
854.0,104173.6
2682.5,386685.24
3428.0,539448.04
680.9,92294.1
1283.2,187819.17
4068.2,661115.1
4460.2,674134.57
905.9,157692.79
3327.4,542824.6
3518.2,555143.43
2662.5,421853.27
2793.8,429010.84
4121.5,605527.11
3952.4,611012.23
2733.6,401604.94
1298.7,179592.82
3069.7,446279.83
970.1,163780.57
3729.8,556341.48
3040.4,472323.99
2374.6,373330.48
3412.9,505759.96
3912.0,564194.18
4378.3,692309.18
3757.9,591852.26
1940.8,325120.85
1227.3,167940.68
2178.4,336725.81
4061.1,648338.2
3033.6,480646.22
647.5,80929.71
2894.6,433021.56
3513.5,521179.53
1801.3,293649.66
864.8,165597.62
3841.2,580696.89
2773.2,403034.91
601.7,90433.81
3303.9,529341.98
988.2,143878.01
4354.5,641245.15
2480.7,394493.66
4009.5,641686.07
3032.4,484383.64
536.8,85846.82
963.5,153617.03
2869.7,445691.08
3486.0,555324.39
681.2,85173.47
561.8,67685.95
1852.0,316165.01
1283.9,203417.69
2216.0,353955.01
3815.0,570363.0
972.7,158323.79
1144.9,181016.91
1743.9,
4159.5,631602.77
3068.1,460814.24
2938.3,448672.65
2618.6,417482.44
2543.0,404959.45
4403.4,687572.37
2590.9,369541.8
1125.7,153591.4
1814.7,275248.46
4352.9,648954.31
1507.1,238920.65
944.8,153938.56
2266.1,376431.66
2333.0,349278.39
3034.1,470730.21
1801.6,297289.53
4319.5,658078.56
3081.9,499796.96
2056.8,324295.81
2993.2,471627.63
1623.9,242173.47
3843.9,574491.22
2720.8,413735.07
2698.1,406405.94
2991.6,435752.86
1050.1,163067.04
3325.0,499076.35
4079.3,617737.93
4223.0,615972.14
4387.1,631807.12
3309.9,484953.11
3307.9,491733.17
1063.7,154684.07
730.2,119711.1
888.7,141619.46
2044.4,293242.44
3130.5,464378.63
931.6,127271.16
3099.9,463997.0
705.9,107742.37
1233.6,186786.72
2643.1,395306.88
875.9,164284.43
1746.8,268683.63
3418.4,493653.42
890.7,164310.17
3027.3,479936.74
3440.3,536901.59
1923.9,301791.92
2548.4,399259.23
3761.8,550191.36
